model,bleu_acc,rouge1_acc,bluert_acc
Non-quantize base,0.47123623,0.503059976,0.574051408
Quantize base,0.457772338,0.485924113,0.563035496
L1,0.454100367,0.46878825,0.52998776
L2,0.451652387,0.463892289,0.515299878
L3,0.500611995,0.520195838,0.560587515
L4,0.458996328,0.47001224,0.514075887
L5,0.458996328,0.466340269,0.518971848
L6,0.488372093,0.495716034,0.569155447
L7,0.47001224,0.481028152,0.550795594
L8,0.430844553,0.427172583,0.488372093
L9,0.449204406,0.462668299,0.520195838
L10_best,0.462668299,0.476132191,0.500611995
L10_last,0.454100367,0.457772338,0.505507956
Q1,0.47123623,0.473684211,0.52753978
Q2,0.446756426,0.457772338,0.516523868
Q3,0.473684211,0.487148103,0.547123623
Q4,0.427172583,0.440636475,0.510403917
Q5,0.425948592,0.446756426,0.503059976
Q6,0.445532436,0.458996328,0.504283966
Q7,0.408812729,0.428396573,0.454100367
